time_s,reference_position_m,current_position_m
13.030077,0.000000,-0.000000
13.040146,0.000000,-0.000000
13.050175,0.000000,-0.000000
13.060138,0.000000,-0.000000
13.070087,0.000000,-0.000000
13.080167,0.000000,-0.000000
13.090683,0.000000,-0.000000
13.100075,0.000000,-0.000000
13.110097,0.000000,-0.000000
13.120079,0.000000,-0.000000
13.130073,0.000000,-0.000000
13.140119,0.000000,-0.000000
13.150124,0.000000,-0.000000
13.160116,0.000000,-0.000000
13.170123,0.000000,-0.000000
13.180103,0.000000,-0.000000
13.190095,0.000000,-0.000000
13.200140,0.000000,-0.000000
13.210089,0.000000,-0.000000
13.220102,0.000000,-0.000000
13.230079,0.000000,-0.000000
13.240244,0.000000,-0.000000
13.250131,0.000000,-0.000000
13.260082,0.000000,-0.000000
13.270102,0.000000,-0.000000
13.280114,0.000000,-0.000000
13.290104,0.000000,-0.000000
13.300079,0.000000,-0.000000
13.310078,0.000000,-0.000000
13.320090,0.000000,-0.000000
13.330073,0.000000,-0.000000
13.340113,0.000000,-0.000000
13.350124,0.000000,-0.000000
13.360092,0.000000,-0.000000
13.370078,0.000000,-0.000000
13.380226,0.000000,-0.000000
13.390080,0.000000,-0.000000
13.400229,0.000000,-0.000000
13.410095,0.000000,-0.000000
13.420109,0.000000,-0.000000
13.430079,0.000000,-0.000000
13.440303,0.000000,-0.000000
13.450133,0.000000,-0.000000
13.460114,0.000000,-0.000000
13.470310,0.000000,-0.000000
13.480172,0.000000,-0.000000
13.490121,0.000000,-0.000000
13.500149,0.000000,-0.000000
13.510081,0.000000,-0.000000
13.520637,0.000000,-0.000000
13.530074,0.000000,-0.000000
13.540079,0.000000,-0.000000
13.550122,0.000000,-0.000000
13.560315,0.000000,-0.000000
13.570306,0.000000,-0.000000
13.580390,0.000000,-0.000000
13.590074,0.000000,-0.000000
13.600113,0.000000,-0.000000
13.610086,0.000000,-0.000000
13.620074,0.000000,-0.000000
13.630223,0.000000,-0.000000
13.640082,0.000000,-0.000000
13.650102,0.000000,-0.000000
13.660075,0.000000,-0.000000
13.670117,0.000000,-0.000000
13.680087,0.000000,-0.000000
13.690441,0.000000,-0.000000
13.700074,0.000000,-0.000000
13.710108,0.000000,-0.000000
13.720080,0.000000,-0.000000
13.730074,0.000000,-0.000000
13.740232,0.000000,-0.000000
13.750764,0.000000,-0.000000
13.760154,0.000000,-0.000000
13.770079,0.000000,-0.000000
13.780137,0.000000,-0.000000
13.790129,0.000000,-0.000000
13.800129,0.000000,-0.000000
13.810093,0.000000,-0.000000
13.820133,0.000000,-0.000000
13.830178,0.000000,-0.000000
13.840169,0.000000,-0.000000
13.850666,0.000000,-0.000000
13.860143,0.000000,-0.000000
13.870201,0.000000,-0.000000
13.880088,0.000000,-0.000000
13.890186,0.000000,-0.000000
13.900285,0.000000,-0.000000
13.910331,0.000000,-0.000000
13.920534,0.000000,-0.000000
13.930271,0.000000,-0.000000
13.940216,0.000000,-0.000000
13.950126,0.000000,-0.000000
13.960100,0.000000,-0.000000
13.970085,0.000000,-0.000000
13.980084,0.000000,-0.000000
13.990123,0.000000,-0.000000
14.000243,0.000000,-0.000000
14.010124,0.000000,-0.000000
14.020130,0.000000,-0.000000
14.030171,0.000000,-0.000000
14.040050,0.000000,-0.000000
14.050077,0.000000,-0.000000
14.060135,0.000000,-0.000000
14.070157,0.000000,-0.000000
14.080088,0.000000,-0.000000
14.090126,0.000000,-0.000000
14.100086,0.000000,-0.000000
14.110265,0.000000,-0.000000
14.120078,0.000000,-0.000000
14.130075,0.000000,-0.000000
14.140082,0.000000,-0.000000
14.150081,0.000000,-0.000000
14.160109,0.000000,-0.000000
14.170123,0.000000,-0.000000
14.180080,0.000000,-0.000000
14.190130,0.000000,-0.000000
14.200122,0.000000,-0.000000
14.210114,0.000000,-0.000000
14.220169,0.000000,-0.000000
14.230083,0.000000,-0.000000
14.240128,0.000000,-0.000000
14.250130,0.000000,-0.000000
14.260111,0.000000,-0.000000
14.270078,0.000000,-0.000000
14.280314,0.000000,-0.000000
14.290159,0.000000,-0.000000
14.300113,0.000000,-0.000000
14.310126,0.000000,-0.000000
14.320133,0.000000,-0.000000
14.330184,0.000000,-0.000000
14.340134,0.000000,-0.000000
14.350130,0.000000,-0.000000
14.360091,0.000000,-0.000000
14.370169,0.000000,-0.000000
14.380505,0.000000,-0.000000
14.390132,0.000000,-0.000000
14.400131,0.000000,-0.000000
14.410127,0.000000,-0.000000
14.420419,0.000000,-0.000000
14.430203,0.000000,-0.000000
14.440081,0.000000,-0.000000
14.450119,0.000000,-0.000000
14.460092,0.000000,-0.000000
14.470104,0.000000,-0.000000
14.480085,0.000000,-0.000000
14.490460,0.000000,-0.000000
14.500155,0.000000,-0.000000
14.510124,0.000000,-0.000000
14.520052,0.000000,-0.000000
14.530124,0.000000,-0.000000
14.540387,0.000000,-0.000000
14.550314,0.000000,-0.000000
14.560111,0.000000,-0.000000
14.570129,0.000000,-0.000000
14.580102,0.000000,-0.000000
14.590356,0.000000,-0.000000
14.600342,0.000000,-0.000000
14.610128,0.000000,-0.000000
14.620114,0.000000,-0.000000
14.630086,0.000000,-0.000000
14.640504,0.000000,-0.000000
14.650101,0.000000,-0.000000
14.660106,0.000000,-0.000000
14.670090,0.000000,-0.000000
14.680131,0.000000,-0.000000
14.690228,0.000000,-0.000000
14.700261,0.000000,-0.000000
14.710114,0.000000,-0.000000
14.720080,0.000000,-0.000000
14.730136,0.000000,-0.000000
14.740080,0.000000,-0.000000
14.750124,0.000000,-0.000000
14.760090,0.000000,-0.000000
14.770125,0.000000,-0.000000
14.780078,0.000000,-0.000000
14.790074,0.000000,-0.000000
14.800100,0.000000,-0.000000
14.810036,0.000000,-0.000000
14.820118,0.000000,-0.000000
14.830077,0.000000,-0.000000
14.840120,0.000000,-0.000000
14.850281,0.000000,-0.000000
14.860121,0.000000,-0.000000
14.870134,0.000000,-0.000000
14.880148,0.000000,-0.000000
14.890098,0.000000,-0.000000
14.900109,0.000000,-0.000000
14.910142,0.000000,-0.000000
14.920161,0.000000,-0.000000
14.930079,0.000000,-0.000000
14.940121,0.000000,-0.000000
14.950126,0.000000,-0.000000
14.960085,0.000000,-0.000000
14.970081,0.000000,-0.000000
14.980097,0.000000,-0.000000
14.990099,0.000000,-0.000000
15.000133,0.000000,-0.000000
15.010075,0.000000,-0.000000
15.020122,0.000000,-0.000000
15.030395,0.000000,-0.000000
15.040117,0.000000,-0.000000
15.050098,0.000000,-0.000000
15.060125,0.000000,-0.000000
15.070106,0.000000,-0.000000
15.080079,0.000000,-0.000000
15.090157,0.000000,-0.000000
15.100164,0.000000,-0.000000
15.110076,0.000000,-0.000000
15.120120,0.250000,-0.000000
15.130077,0.250000,0.001112
15.140170,0.250000,0.003609
15.150198,0.250000,0.006109
15.160110,0.250000,0.008609
15.170087,0.250000,0.011109
15.180412,0.250000,0.013609
15.190087,0.250000,0.016109
15.200066,0.250000,0.018609
15.210085,0.250000,0.021109
15.220215,0.250000,0.023359
15.230158,0.250000,0.026109
15.240119,0.250000,0.028609
15.250175,0.250000,0.031109
15.260080,0.250000,0.033609
15.270078,0.250000,0.036109
15.280116,0.250000,0.038609
15.290134,0.250000,0.040859
15.300433,0.250000,0.043359
15.310145,0.250000,0.046109
15.320105,0.250000,0.048609
15.330074,0.250000,0.051109
15.340122,0.250000,0.053359
15.350127,0.250000,0.056109
15.360097,0.250000,0.058609
15.370101,0.250000,0.061109
15.380094,0.250000,0.063609
15.390115,0.250000,0.066109
15.400168,0.250000,0.068609
15.410250,0.250000,0.071109
15.420096,0.250000,0.073609
15.430157,0.250000,0.076109
15.440160,0.250000,0.078609
15.450079,0.250000,0.081109
15.460126,0.250000,0.083609
15.470106,0.250000,0.086109
15.480177,0.250000,0.088609
15.490152,0.250000,0.091109
15.500063,0.250000,0.093609
15.510130,0.250000,0.096109
15.520077,0.250000,0.098609
15.530076,0.250000,0.101109
15.540119,0.250000,0.103609
15.550196,0.250000,0.106109
15.560096,0.250000,0.108609
